dictionary,term,direction,pair_id
Sociability,friendly,high,high_s1
Sociability,unfriendly,low,low_s1
Sociability,likable,high,high_s2
Sociability,unlikable,low,low_s2
Sociability,outgoing,high,high_s3
Sociability,shy,low,low_s3
Sociability,helpful,high,high_s4
Sociability,unhelpful,low,low_s4
Sociability,polite,high,high_s5
Sociability,impolite,low,low_s5
Sociability,social,high,high_s6
Sociability,antisocial,low,low_s6
Sociability,funny,high,high_s7
Sociability,boring,low,low_s7
Morality,moral,high,high_m1
Morality,immoral,low,low_m1
Morality,trustworthy,high,high_m2
Morality,untrustworthy,low,low_m2
Morality,honest,high,high_m3
Morality,dishonest,low,low_m3
Morality,honorable,high,high_m4
Morality,dishonorable,low,low_m4
Morality,responsible,high,high_m5
Morality,irresponsible,low,low_m5
Ability,competent,high,high_a1
Ability,incompetent,low,low_a1
Ability,intelligent,high,high_a2
Ability,unintelligent,low,low_a2
Ability,creative,high,high_a3
Ability,uncreative,low,low_a3
Ability,practical,high,high_a4
Ability,impractical,low,low_a4
Ability,logical,high,high_a5
Ability,illogical,low,low_a5
Agency,confident,high,high_ag1
Agency,diffident,low,low_ag1
Agency,independent,high,high_ag2
Agency,dependent,low,low_ag2
Agency,energetic,high,high_ag3
Agency,lethargic,low,low_ag3
Agency,ambitious,high,high_ag4
Agency,unambitious,low,low_ag4
Agency,dominant,high,high_ag5
Agency,submissive,low,low_ag5
Status,wealthy,high,high_st1
Status,poor,low,low_st1
Status,superior,high,high_st2
Status,inferior,low,low_st2
Status,influential,high,high_st3
Status,uninfluential,low,low_st3
Status,successful,high,high_st4
Status,unsuccessful,low,low_st4
Status,important,high,high_st5
Status,insignificant,low,low_st5
Status,respected,high,high_st6
Status,disreputable,low,low_st6
Politics,traditional,high,high_p1
Politics,modern,low,low_p1
Politics,narrow-minded,high,high_p2
Politics,open-minded,low,low_p2