nationality,man_suffix,woman_suffix
african,man,woman
american,man,woman
british,man,woman
chinese,man,woman
eskimo,man,woman
european,man,woman
french,man,woman
german,man,woman
greek,man,woman
hispanic,man,woman
indian,man,woman
iraqi,man,woman
irish,man,woman
italian,man,woman
japanese,man,woman
korean,man,woman
mexican,man,woman
middle eastern,man,woman
mongolian,man,woman
native american,man,woman
pakistani,man,woman
,filipino,filipina
russian,man,woman
scottish,man,woman
thai,man,woman
vietnamese,man,woman