,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
acne covered person,,2.6753719321548597e-06,1.4676435736366083e-36,0.40634227989166405,0.0047909448420291375,0.009903976242426525,0.0005986137558982935,0.09643845743311166,0.8681447759496204,0.9339841676058301,0.06738167300070413,1.0069166275430658e-06,0.03782145615486332,0.361942127165378,5.9723685441674445e-05,1.1507721118380874e-09,1.0891273740214225e-07,1.2373077400714873e-23,6.234948622275983e-17,6.083313490872014e-10,0.00026742501426252926,1.0891273740214225e-07,0.13471791750805703,0.2448848666399186,0.2448848666399186,1.9167588914895604e-05,0.06738167300070413,1.6619835730638084e-06,0.015889312506825633,7.486188689274113e-08,1.3394892127253284e-05,0.0005986137558982935,4.750403983526149e-07,8.746918314427453e-06,2.980212372506334e-35,0.00016861335182349104,7.296013348333527e-13,0.09643845743311166,0.00016861335182349104,0.9339841676058301
acne ridden person,0.019790985546069513,,3.0867445181343755e-27,0.0019822622430916877,0.24216225615278136,0.0004437340749220134,0.13258837943967025,3.968841738507514e-05,0.3599358346987107,0.6188067794589103,0.0034524610412303936,3.1520070700737036e-05,0.04601430488802476,0.0026659506113559635,0.0034524610412303936,1.5576974010723576e-08,2.42922803100617e-06,2.0150050539706852e-23,1.86177387286835e-10,0.0006019426174186471,0.00038546692256975713,1.86177387286835e-10,0.037119335489403264,0.3599358346987107,0.3599358346987107,0.0026659506113559635,0.0034524610412303936,0.00011633407175762603,1.0,2.8353807672986147e-07,0.01552916784420762,2.5940435325295247e-05,8.366526185731094e-09,4.3103945357320636e-08,2.0545291985587594e-43,0.012482197063409334,3.2170807327102334e-13,0.0243202605475322,2.7105513155863795e-05,0.5602784913407954
attractive person,1.1416204546700576e-09,0.00020755746985735198,,0.0006374461070030267,0.8950292375966383,0.02334656762687653,0.029118523572232286,0.02981754680527903,0.8508468642293705,0.5727212422232133,0.4520645196372439,0.00047311956176136457,0.777382935181471,0.00802183699015764,0.02981754680527903,1.1416204546700576e-09,0.003421651074918412,5.108361049752789e-16,8.889147079551726e-14,1.6320349543804076e-24,1.4675155439777787e-05,0.00020755746985735198,0.0003136571237688908,0.047316980625735576,0.777382935181471,0.0017925218010784087,7.624932893345474e-06,0.00802183699015764,0.003421651074918412,4.187838689943478e-05,0.010787586371264101,0.0006007331610938059,4.187838689943478e-05,1.0712939091909444e-06,1.5803594513540888e-44,6.621667971256796e-05,1.1416204546700576e-09,0.4520645196372439,0.18832824323856048,0.1323233550714218
bald person,8.903340086839726e-06,0.01384775327577788,9.363551860161908e-13,,0.013481471401204911,2.2035553426976607e-25,0.06455178457143498,0.9301479642896915,0.860549808644004,0.37961797508169304,2.4053221009328096e-06,0.06320892263496994,0.9301479642896915,0.7253175421075785,0.7925541735868545,2.9370425085796587e-08,2.4053221009328096e-06,8.199781442904345e-16,9.739842099294867e-09,2.251817592685734e-21,0.13915891463460803,8.608130572335228e-08,0.03487055608733382,1.0,0.0531127779148316,0.0007892898975794779,0.000290004077938379,0.00487490157632728,0.0014948759195098744,1.5898285053296137e-06,0.0005671747799864714,1.291831160095705e-05,6.310845800523682e-09,9.609794625637511e-05,1.0671868764071364e-38,0.1352115464726486,5.711898642858022e-10,1.0,0.00487490157632728,0.06468038841788694
bearded person,0.0032389745740015502,0.12915443407201838,0.000604136294892264,2.9191934190247832e-06,,1.6677997120347607e-26,0.5601025503915826,0.726669717804257,8.773152827878982e-05,8.114275758477059e-07,5.028925280137621e-05,0.00013984321025445708,0.4145255269473015,0.1586196454851148,0.026012255412874274,0.033985658747546076,4.3695489666071373e-07,1.8662080751827715e-15,2.689577286567474e-08,2.15570472788331e-09,0.000604136294892264,1.6964562112424606e-05,0.001441839862156356,1.0,0.12915443407201838,0.09977366273907824,0.001441839862156356,0.19945258831956203,0.059732735971812376,0.001441839862156356,0.00023778807269832838,0.000604136294892264,0.026012255412874274,0.1586196454851148,4.660984607931962e-15,0.2939884271790445,1.6964562112424606e-05,1.0,0.09977366273907824,0.2939884271790445
beautiful person,0.6085243294707425,0.07352861793644892,1.9759054240219363e-07,6.730485824055115e-30,4.206761495804452e-16,,1.2343604060606302e-29,1.2063756529036679e-19,6.730485824055115e-30,6.730485824055115e-30,9.731587265529222e-22,2.5654868972550384e-08,0.010180161128557672,1.0817482595949044e-05,0.49460598167026415,5.237691735429176e-13,1.870185452572718e-15,7.520317857733154e-42,2.649599924643246e-21,1.9759054240219363e-07,1.0,1.11388285497923e-09,0.07352861793644892,0.6085243294707425,0.670161176842132,0.002024827609325857,0.03288253299876253,8.455435066621693e-07,0.002024827609325857,0.007997958618076393,0.12390693149340826,0.009972232509856804,1.285330646849326e-06,1.5277386690535055e-11,9.731587265529222e-22,5.135097630546904e-05,1.362366880435071e-16,0.3487074552066659,3.301800875847024e-09,0.010180161128557672
black haired person,0.34359751730527144,0.0018197437325915707,2.9760751433421465e-13,6.7989202824625745e-09,0.022051166041293615,1.9286115327578025e-28,,0.2272953229988034,0.00013667511734105585,0.015459424863305208,0.03810612354724717,0.002377425504833687,0.03810612354724717,0.057420743093904214,0.08423026571743134,2.3546679741201163e-10,4.063034921158445e-15,1.4349236708152205e-19,4.583272804307607e-12,7.429248862089769e-17,0.003473547103887394,5.944849703436846e-06,0.005611170946614055,0.03133674558760427,0.8632121155261414,0.057420743093904214,1.9754168166148515e-05,0.004342894198203964,0.012372378196683204,0.024608365864313753,6.67947201008146e-05,1.2556570966612914e-05,3.806507562367339e-06,0.0013530071353343898,2.023746468609012e-34,0.00018737644236084766,2.3546679741201163e-10,0.7962064591104844,0.004342894198203964,0.10181108818447059
blonde person,0.02669796327171652,1.0,5.353674970375408e-12,6.579798997692074e-13,0.09442613637359303,2.7050468549837283e-20,6.982559743635844e-14,,0.001182877107307889,0.0002290750058994623,0.0006400073217326642,0.0002862261350479637,0.021453589990794317,0.0008471442065827004,0.4961916597749919,1.2990129329492357e-10,3.633950153877633e-11,5.594882242268443e-29,1.4909546947654607e-17,4.046924090105617e-14,2.1506865785572298e-05,1.7852463100005447e-05,0.010523236388310308,0.733717472428551,0.733717472428551,0.021453589990794317,0.04086396561619353,0.008183412120415321,7.897950541769935e-06,3.890257600260158e-07,0.12539535578764047,0.0015611334124942637,0.0006400073217326642,2.12404209357486e-09,2.9201161580819884e-31,0.013435823361314225,6.763550330746727e-10,0.20289535661870015,0.008183412120415321,0.4453456232059567
brown haired person,0.012044380613843001,0.04475518158838086,3.7421857505380735e-14,1.309743132502782e-08,0.0006124415412231944,5.996884272174768e-36,0.20888313066498848,0.18130493166137981,,9.017298332555622e-15,0.9335587731152946,0.0002395696483615035,0.27804657009479294,0.005677155103638428,0.019142281290922554,0.0019021614622844096,6.310630485753243e-14,3.6263668427939463e-20,3.8799471660277663e-16,3.43501292457197e-17,0.04617093881005273,7.2974722643207115e-09,1.44195616739852e-06,0.18130493166137981,0.004407485810056162,0.21058710343020193,3.5591798906019277e-08,0.0005699452426445636,0.0005699452426445636,2.6343544064556745e-10,5.976911775848519e-07,0.0003956675072389943,1.44195616739852e-06,0.015191729969868145,2.8543195818123533e-35,0.11253754437839544,1.9124907817304444e-15,0.5594077781456785,0.11253754437839544,0.1325453305011506
brown skinned person,0.015506629999524568,0.030657956480571902,8.703562576926876e-12,3.7561585768005743e-06,3.080146174202216e-06,1.1786988494183451e-37,0.029578714806899095,0.6184148542352451,2.7915850010345793e-26,,0.024293476565703787,3.176911920989689e-05,0.21168793397691543,0.21168793397691543,0.0011023763691837768,0.0008367818976534969,2.3259036073864855e-08,1.3486939267225488e-26,9.938328624231317e-21,4.4697957763904495e-15,0.00014761663062519097,6.29400299217505e-08,0.030657956480571902,0.09657442873562366,0.40637697163837105,0.00023255373957949393,3.7561585768005743e-06,2.7332354849924132e-05,0.007717499194697871,0.3190345257843992,8.093275174823117e-05,2.5561244148530848e-05,3.7561585768005743e-06,2.4446237633346138e-06,2.9292910439998957e-28,0.024293476565703787,1.6711939515754028e-11,0.3190345257843992,0.15682914480331633,0.06751995325598101
brunette person,0.5608122825460342,0.8677621455162039,1.5732545807338232e-11,3.05416264338258e-24,1.7293235151661583e-05,2.254435728559381e-28,7.347497320628982e-12,0.36063960578236964,0.0014680606259923226,4.274457857679842e-07,,2.3478138445196257e-09,0.31751751395034356,0.0035084926926037424,0.0014680606259923226,3.126460932521014e-09,1.4285163127983982e-18,2.254435728559381e-28,5.1661720886281974e-15,9.44515333992136e-17,0.1281257065709117,2.5735576193825156e-07,0.024658120940571755,0.2124516728287359,0.7391195385741278,1.557575409020814e-06,0.012201350454432023,2.5735576193825156e-07,0.0011217644492058493,1.0360619481213717e-06,0.05573696525799946,0.0018952479839194564,2.4383227342072216e-06,6.432714371257819e-07,6.848095072501575e-35,0.009824574695391058,2.2940585425541e-12,0.2124516728287359,0.06650440323275628,0.27993232936892704
clean shaven person,0.05244103201064729,0.15661871095091745,4.7459864865785475e-05,0.24729617721251845,0.6062824789896955,0.796678632051534,0.09346630642754039,0.05244103201064729,0.24729617721251845,0.15661871095091745,0.0006816261418395588,,0.8981045864768114,0.004382677161549124,0.009939076188268513,2.5828193320127167e-05,8.972048825286277e-07,2.512504760102472e-20,1.0678216808121817e-09,4.7459864865785475e-05,0.009939076188268513,8.089554785981889e-05,0.36891581523539774,0.24729617721251845,1.0,0.8981045864768114,0.004382677161549124,0.43935096911862687,0.07090154406916668,0.009939076188268513,0.004382677161549124,0.15661871095091745,0.004382677161549124,8.089554785981889e-05,4.1222970596609134e-08,0.19717178564309418,4.829270450336464e-11,0.796678632051534,0.30235914142619214,0.07090154406916668
curly haired person,0.02480621387961028,0.01587860470386485,2.7146396804824446e-08,0.000476441354172469,0.6430982000889096,0.18524428403091345,3.832860379123222e-06,1.3923548146914752e-05,0.05607707486328008,0.08120761074412863,0.11475687441878751,1.0872003843350616e-05,,0.1360506356832602,0.0008851992818159839,1.1525586187140931e-07,6.85333382869408e-11,2.6702314697626204e-34,4.717804191116671e-13,2.996210517045267e-14,0.00016602594733878618,8.975594825982521e-06,0.0020478988143535805,0.3616349283571984,0.3205771627698304,0.0006249102189843476,2.994938603194615e-05,0.02024540458765941,0.00017048109209699376,0.01587860470386485,0.0008851992818159839,0.01950269878839611,3.394765441938314e-09,1.7234875914571717e-06,1.0280657189467722e-20,1.958162762246134e-05,1.1956600907482537e-14,0.9339359449767146,0.012831803737480059,0.24646142338000707
cute person,0.7390197009042212,0.007395655469957718,2.142309492287114e-12,0.029807446264297262,0.8147734962039306,0.8023928463081177,0.00028868726666023343,3.6290499129546507e-06,0.004404321133516982,0.3172582395837042,0.007395655469957718,5.761936735505878e-14,0.358665059661919,,0.007395655469957718,3.1529825855643706e-10,2.1988111171749576e-08,3.4682403692987837e-38,7.802439292074266e-22,1.1859578521191798e-18,0.0031732413345468362,2.1988111171749576e-08,5.332953934822546e-05,0.06626054172575163,0.06626054172575163,3.918911140628845e-05,9.614154017322778e-08,0.0005909604985240721,0.009510461212610682,1.5375485328235299e-06,0.00021721567257570578,0.03605063324288582,1.8369913134785138e-05,1.5274200770494313e-10,1.7238646288905187e-20,0.005755987258919133,2.1988111171749576e-08,0.8677118211844119,8.049672977265653e-05,0.358665059661919
dark skinned person,0.45007494517734575,0.6140623788657824,6.445907960770875e-10,1.974606291288237e-11,0.19386751490365356,0.11025480193026929,2.9367300322284856e-13,1.4919991537033158e-05,0.12998961204644563,0.8665222736868774,0.7367443523974191,4.348949152253224e-06,0.05298312614322033,0.035342511177883326,,3.600328667836914e-09,1.1690605228829804e-09,1.633359974948932e-27,1.0423322477310532e-16,1.1000880392520346e-14,0.09860134013208532,1.1690605228829804e-09,0.04336052324971392,0.5013061572864106,0.6140623788657824,0.05298312614322033,0.000137475510483581,4.4992972377394506e-08,0.0005226355715127686,0.007009435256290934,6.751042008320838e-05,0.0006874781780070787,1.4919991537033158e-05,1.02911340767576e-05,1.1219248696344198e-34,0.0017713710753325743,3.247126232780759e-11,0.45007494517734575,0.1531878817786219,0.12998961204644563
disfigured person,0.0675139735478448,0.10020924316387769,1.28588159049696e-11,9.02556809020295e-06,0.020140715283351415,0.23418810342752172,1.2790436981580828e-05,5.139524604602049e-05,0.5843638968390668,0.4658178907974835,0.04410873144007803,0.0004343933199309366,0.36202389760707765,0.4658178907974835,0.00585760193266649,,7.143588465751743e-08,4.519993659488708e-45,1.7734785194306272e-10,8.918692976348373e-11,0.0002586517341321824,1.3234308649468339e-09,0.00585760193266649,0.14432518775891273,0.017133554465827476,0.00023155619932751045,0.02792987037944099,0.004527708942320786,0.7153344398011421,0.0001557845235740697,0.0001557845235740697,0.01715045781353957,0.0013166845485989382,5.855686926125193e-06,4.685327784346384e-16,0.003264574828179559,1.8629566653705266e-16,0.20184091364765683,0.7153344398011421,0.20184091364765683
dreadlocked person,0.7074658206169528,1.0,0.0025860479449076957,0.0025860479449076957,0.8956872844595034,0.25994093694857745,7.671273775534299e-08,0.000324495200739233,0.0006709185320860631,0.303522098338796,5.425426385793174e-06,0.0009101907210377262,0.7792330923348123,0.038787390074972034,0.01861932253206093,1.926633997575491e-10,,5.5986011961148146e-33,1.3338824788855328e-13,7.165238523526494e-07,0.08575311266976562,3.1198462004319454e-06,0.22364426081203154,0.030551402410048153,0.303522098338796,0.038787390074972034,0.0025860479449076957,0.014648413227012387,0.9255512640127559,0.6403875810882459,0.000324495200739233,0.0033586316508566064,0.0048120983909603916,1.2078707460882387e-06,2.848385202448201e-16,0.06029394135136404,1.3338824788855328e-13,0.22364426081203154,1.0,0.07453654151983562
fat person,0.8873659913127088,0.6707400594626525,0.0005363360521293404,0.15816576686321743,0.6901282201390518,0.7774772217440922,0.08867960277805195,9.099990559508651e-05,1.0,0.15816576686321743,0.04615887571278854,0.0043945068186374584,0.47818957529745487,0.47818957529745487,0.00659568241612841,0.004323995860166987,1.5356671979949712e-10,,4.995402690704096e-15,0.0016732679203986566,0.11357635642970647,7.698115981785694e-09,0.15816576686321743,0.8873659913127088,0.00659568241612841,0.11766024863769751,0.15816576686321743,0.022250383567785484,0.20073483546318516,0.15816576686321743,0.15816576686321743,0.006533261643248729,0.01589290307848511,0.010044546223361067,7.175671503852035e-06,1.0,1.1261637427431214e-06,0.08882766330083353,0.6707400594626525,0.47818957529745487
fit person,0.025980236448851418,0.7620752090543337,2.3267051954436462e-10,0.008285655052705211,0.7767332962026426,0.31269771206215946,0.002197276051955476,1.6709129471222753e-05,0.008285655052705211,0.00035631886523501113,0.04335162481021279,0.0015206934516303326,0.31269771206215946,0.47961688626166515,0.000782165811904742,2.24607302882447e-12,2.5077478984620106e-11,1.3067710644635752e-35,,1.6709129471222753e-05,0.0026925219599860314,1.4648808720070473e-07,0.014964497860643838,0.025980236448851418,0.014964497860643838,0.31269771206215946,0.04335162481021279,0.006232965411191265,0.006232965411191265,0.0033390520311341798,0.0016505439455669149,0.002197276051955476,3.969823583389195e-06,0.0005392840273582534,3.91317516438501e-12,0.011269752113261153,3.417315637908593e-16,0.4192273113059954,0.08507383065365734,0.9196263340943576
